dgp,n,S_true,method,bias,rmse,coverage_95,reject_rate_H0_S_le_0,se_ratio,bandwidth_tag
iid_normal,120,0.0,naive_iid_normal,0.00789068060004508,0.09574529997818498,0.94,0.08,0.9556751881836354,na
iid_normal,120,0.0,robust_hac,0.00789068060004508,0.09574529997818498,0.9133333333333333,0.06666666666666667,0.9287458361062959,auto
iid_normal,120,0.0,robust_hac,0.00789068060004508,0.09574529997818498,0.9333333333333333,0.07333333333333333,0.945748852622741,half
iid_normal,120,0.0,robust_hac,0.00789068060004508,0.09574529997818498,0.9066666666666666,0.08,0.8944793610862621,double
iid_normal,120,0.5,naive_iid_normal,-0.0227783679782406,0.10221762493154517,0.9333333333333333,1.0,0.9655451439898324,na
iid_normal,120,0.5,robust_hac,-0.0227783679782406,0.10221762493154517,0.9133333333333333,1.0,0.9196577178232785,auto
iid_normal,120,0.5,robust_hac,-0.0227783679782406,0.10221762493154517,0.9266666666666666,1.0,0.939909269577019,half
iid_normal,120,0.5,robust_hac,-0.0227783679782406,0.10221762493154517,0.9,1.0,0.8928846411479109,double
iid_normal,240,0.0,naive_iid_normal,-0.005625208733400598,0.060535050128516045,0.9466666666666667,0.02,1.0683542531749295,na
iid_normal,240,0.0,robust_hac,-0.005625208733400598,0.060535050128516045,0.94,0.02666666666666667,1.048853126369425,auto
iid_normal,240,0.0,robust_hac,-0.005625208733400598,0.060535050128516045,0.9466666666666667,0.04,1.0546310195202457,half
iid_normal,240,0.0,robust_hac,-0.005625208733400598,0.060535050128516045,0.94,0.04,1.0366614942954846,double
iid_normal,240,0.5,naive_iid_normal,-0.0014496528705810038,0.06679875371788177,0.96,1.0,1.0223366822822677,na
iid_normal,240,0.5,robust_hac,-0.0014496528705810038,0.06679875371788177,0.96,1.0,1.0058752783488203,auto
iid_normal,240,0.5,robust_hac,-0.0014496528705810038,0.06679875371788177,0.9666666666666667,1.0,1.012822849869664,half
iid_normal,240,0.5,robust_hac,-0.0014496528705810038,0.06679875371788177,0.9533333333333334,1.0,0.993700127612592,double
iid_normal,1200,0.0,naive_iid_normal,6.469092313137563e-05,0.02779563974785595,0.9533333333333334,0.05333333333333334,1.035297661036161,na
iid_normal,1200,0.0,robust_hac,6.469092313137563e-05,0.02779563974785595,0.9466666666666667,0.06,1.0366193441634128,auto
iid_normal,1200,0.0,robust_hac,6.469092313137563e-05,0.02779563974785595,0.9466666666666667,0.06,1.0360606337436526,half
iid_normal,1200,0.0,robust_hac,6.469092313137563e-05,0.02779563974785595,0.94,0.06,1.0346082575340092,double
iid_normal,1200,0.5,naive_iid_normal,-0.0013689618603192285,0.033490084343886915,0.9333333333333333,1.0,0.9118934232688096,na
iid_normal,1200,0.5,robust_hac,-0.0013689618603192285,0.033490084343886915,0.94,1.0,0.9081612776286829,auto
iid_normal,1200,0.5,robust_hac,-0.0013689618603192285,0.033490084343886915,0.9466666666666667,1.0,0.9093308735538428,half
iid_normal,1200,0.5,robust_hac,-0.0013689618603192285,0.033490084343886915,0.9266666666666666,1.0,0.9061087445006707,double
iid_t,120,0.0,naive_iid_normal,-0.0047365130908757665,0.09449061922688692,0.9333333333333333,0.02666666666666667,0.9662286443787854,na
iid_t,120,0.0,robust_hac,-0.0047365130908757665,0.09449061922688692,0.9333333333333333,0.04666666666666667,0.9375470051636696,auto
iid_t,120,0.0,robust_hac,-0.0047365130908757665,0.09449061922688692,0.9333333333333333,0.03333333333333333,0.9442321522715774,half
iid_t,120,0.0,robust_hac,-0.0047365130908757665,0.09449061922688692,0.9333333333333333,0.05333333333333334,0.9229559580001376,double
iid_t,120,0.5,naive_iid_normal,0.021541280010657957,0.10754011133929121,0.92,1.0,0.922368753422077,na
iid_t,120,0.5,robust_hac,0.021541280010657957,0.10754011133929121,0.9333333333333333,0.9933333333333333,0.9526198925721737,auto
iid_t,120,0.5,robust_hac,0.021541280010657957,0.10754011133929121,0.9333333333333333,0.9933333333333333,0.9580648158845015,half
iid_t,120,0.5,robust_hac,0.021541280010657957,0.10754011133929121,0.9066666666666666,0.9933333333333333,0.9352146484154723,double
iid_t,240,0.0,naive_iid_normal,0.008778372448627888,0.0669207788819768,0.94,0.08666666666666667,0.970811766265279,na
iid_t,240,0.0,robust_hac,0.008778372448627888,0.0669207788819768,0.92,0.08,0.9544229998247932,auto
iid_t,240,0.0,robust_hac,0.008778372448627888,0.0669207788819768,0.9266666666666666,0.08666666666666667,0.9598399084584706,half
iid_t,240,0.0,robust_hac,0.008778372448627888,0.0669207788819768,0.92,0.08,0.9392627645917518,double
iid_t,240,0.5,naive_iid_normal,0.014594464007497365,0.07412617583838323,0.94,1.0,0.9429827568205348,na
iid_t,240,0.5,robust_hac,0.014594464007497365,0.07412617583838323,0.94,1.0,0.9959006236167038,auto
iid_t,240,0.5,robust_hac,0.014594464007497365,0.07412617583838323,0.9466666666666667,1.0,1.0008309113853198,half
iid_t,240,0.5,robust_hac,0.014594464007497365,0.07412617583838323,0.9333333333333333,1.0,0.9867477181686305,double
iid_t,1200,0.0,naive_iid_normal,-0.0018009205984550595,0.02596878213230042,0.9733333333333334,0.02,1.1107730805448055,na
iid_t,1200,0.0,robust_hac,-0.0018009205984550595,0.02596878213230042,0.9733333333333334,0.03333333333333333,1.1089957435849305,auto
iid_t,1200,0.0,robust_hac,-0.0018009205984550595,0.02596878213230042,0.9733333333333334,0.03333333333333333,1.1083861145254925,half
iid_t,1200,0.0,robust_hac,-0.0018009205984550595,0.02596878213230042,0.9733333333333334,0.03333333333333333,1.1090304728700517,double
iid_t,1200,0.5,naive_iid_normal,0.0030601756728931458,0.03399985528811053,0.9066666666666666,1.0,0.9020209830278374,na
iid_t,1200,0.5,robust_hac,0.0030601756728931458,0.03399985528811053,0.9266666666666666,1.0,0.9901404333282469,auto
iid_t,1200,0.5,robust_hac,0.0030601756728931458,0.03399985528811053,0.9333333333333333,1.0,0.98714974408534,half
iid_t,1200,0.5,robust_hac,0.0030601756728931458,0.03399985528811053,0.94,1.0,0.9916133576195334,double
ar1_t,120,0.0,naive_iid_normal,0.006207574042391886,0.11795815912887768,0.86,0.10666666666666667,0.7750513967840633,na
ar1_t,120,0.0,robust_hac,0.006207574042391886,0.11795815912887768,0.94,0.06,0.9452333746325893,auto
ar1_t,120,0.0,robust_hac,0.006207574042391886,0.11795815912887768,0.9333333333333333,0.07333333333333333,0.9109105927280083,half
ar1_t,120,0.0,robust_hac,0.006207574042391886,0.11795815912887768,0.9266666666666666,0.06,0.9503463971061447,double
ar1_t,120,0.5,naive_iid_normal,0.012216706362704204,0.13387615513518125,0.8866666666666667,1.0,0.728313307729821,na
ar1_t,120,0.5,robust_hac,0.012216706362704204,0.13387615513518125,0.9266666666666666,0.9866666666666667,0.9002458655216584,auto
ar1_t,120,0.5,robust_hac,0.012216706362704204,0.13387615513518125,0.9266666666666666,0.9866666666666667,0.8726054167167624,half
ar1_t,120,0.5,robust_hac,0.012216706362704204,0.13387615513518125,0.9266666666666666,0.9866666666666667,0.9057000905594796,double
ar1_t,240,0.0,naive_iid_normal,0.00967750455322834,0.09567532764166829,0.8066666666666666,0.14666666666666667,0.6774303231924786,na
ar1_t,240,0.0,robust_hac,0.00967750455322834,0.09567532764166829,0.88,0.10666666666666667,0.8423599914220703,auto
ar1_t,240,0.0,robust_hac,0.00967750455322834,0.09567532764166829,0.88,0.12,0.8076032700291409,half
ar1_t,240,0.0,robust_hac,0.00967750455322834,0.09567532764166829,0.8866666666666667,0.10666666666666667,0.8588454491227911,double
ar1_t,240,0.5,naive_iid_normal,0.00771698493086583,0.10914270293477969,0.8,1.0,0.6292980936009425,na
ar1_t,240,0.5,robust_hac,0.00771698493086583,0.10914270293477969,0.88,1.0,0.7965058482828711,auto
ar1_t,240,0.5,robust_hac,0.00771698493086583,0.10914270293477969,0.86,1.0,0.7685770677149159,half
ar1_t,240,0.5,robust_hac,0.00771698493086583,0.10914270293477969,0.8733333333333333,1.0,0.8072088726571024,double
ar1_t,1200,0.0,naive_iid_normal,0.0016328988790864861,0.03704049654117155,0.86,0.1,0.7777702990392175,na
ar1_t,1200,0.0,robust_hac,0.0016328988790864861,0.03704049654117155,0.92,0.07333333333333333,1.002894105021982,auto
ar1_t,1200,0.0,robust_hac,0.0016328988790864861,0.03704049654117155,0.92,0.07333333333333333,0.9663281244343878,half
ar1_t,1200,0.0,robust_hac,0.0016328988790864861,0.03704049654117155,0.9333333333333333,0.07333333333333333,1.0231742278747502,double
ar1_t,1200,0.5,naive_iid_normal,-0.001788046932889688,0.0439563835385211,0.8333333333333334,1.0,0.6948061197335862,na
ar1_t,1200,0.5,robust_hac,-0.001788046932889688,0.0439563835385211,0.9266666666666666,1.0,0.9433561775244269,auto
ar1_t,1200,0.5,robust_hac,-0.001788046932889688,0.0439563835385211,0.92,1.0,0.9108141804454843,half
ar1_t,1200,0.5,robust_hac,-0.001788046932889688,0.0439563835385211,0.94,1.0,0.962738971995658,double
garch11_t,120,0.0,naive_iid_normal,0.005345584257704915,0.09069597711548302,0.9533333333333334,0.04,1.0069643861239768,na
garch11_t,120,0.0,robust_hac,0.005345584257704915,0.09069597711548302,0.9333333333333333,0.04666666666666667,0.9735666270859216,auto
garch11_t,120,0.0,robust_hac,0.005345584257704915,0.09069597711548302,0.94,0.04666666666666667,0.9877311238979777,half
garch11_t,120,0.0,robust_hac,0.005345584257704915,0.09069597711548302,0.9266666666666666,0.06666666666666667,0.9444447159900196,double
garch11_t,120,0.5,naive_iid_normal,0.04048772645084977,0.13906286152197864,0.8333333333333334,1.0,0.7345776598732056,na
garch11_t,120,0.5,robust_hac,0.04048772645084977,0.13906286152197864,0.84,1.0,0.7638154200134711,auto
garch11_t,120,0.5,robust_hac,0.04048772645084977,0.13906286152197864,0.8466666666666667,1.0,0.7654807042537336,half
garch11_t,120,0.5,robust_hac,0.04048772645084977,0.13906286152197864,0.8266666666666667,1.0,0.7568561975295355,double
garch11_t,240,0.0,naive_iid_normal,-0.0073342551475668915,0.0658013799849196,0.94,0.04666666666666667,0.9848962012628014,na
garch11_t,240,0.0,robust_hac,-0.0073342551475668915,0.0658013799849196,0.9333333333333333,0.04,0.97368581293302,auto
garch11_t,240,0.0,robust_hac,-0.0073342551475668915,0.0658013799849196,0.9266666666666666,0.04,0.9813123138682125,half
garch11_t,240,0.0,robust_hac,-0.0073342551475668915,0.0658013799849196,0.9133333333333333,0.04666666666666667,0.9606002141444137,double
garch11_t,240,0.5,naive_iid_normal,0.01831895166230223,0.09591047850602466,0.8533333333333334,1.0,0.7290572142378745,na
garch11_t,240,0.5,robust_hac,0.01831895166230223,0.09591047850602466,0.8866666666666667,1.0,0.7806765296377493,auto
garch11_t,240,0.5,robust_hac,0.01831895166230223,0.09591047850602466,0.8733333333333333,1.0,0.773197208908899,half
garch11_t,240,0.5,robust_hac,0.01831895166230223,0.09591047850602466,0.8866666666666667,1.0,0.7888919917271834,double
garch11_t,1200,0.0,naive_iid_normal,0.0009451163277924901,0.02764496868723301,0.9666666666666667,0.05333333333333334,1.04154412789549,na
garch11_t,1200,0.0,robust_hac,0.0009451163277924901,0.02764496868723301,0.9666666666666667,0.05333333333333334,1.0320809232249977,auto
garch11_t,1200,0.0,robust_hac,0.0009451163277924901,0.02764496868723301,0.9666666666666667,0.05333333333333334,1.0373674372750916,half
garch11_t,1200,0.0,robust_hac,0.0009451163277924901,0.02764496868723301,0.96,0.05333333333333334,1.025937727194932,double
garch11_t,1200,0.5,naive_iid_normal,0.00788338716574387,0.044882449786281996,0.8133333333333334,1.0,0.6921390240634873,na
garch11_t,1200,0.5,robust_hac,0.00788338716574387,0.044882449786281996,0.8733333333333333,1.0,0.7976992128381263,auto
garch11_t,1200,0.5,robust_hac,0.00788338716574387,0.044882449786281996,0.8733333333333333,1.0,0.7826658016826691,half
garch11_t,1200,0.5,robust_hac,0.00788338716574387,0.044882449786281996,0.8933333333333333,1.0,0.8232785513095111,double
